Sample	Group	Reads	Markers	Retained	Min_depth	Max_depth	Median_depth	Average_depth
S_22_08081	M	980812	295792	67322	0	6064	6	8
S_22_09205	F	3197334	556408	67322	0	16102	27	31
S_22_08301	M	2734956	608667	67322	0	17011	19	23
S_22_09246	F	4265620	774307	67322	0	13597	34	38
S_22_08306	M	5283430	979657	67322	0	34992	42	47
S_22_09419	F	4486531	824237	67322	0	12786	37	40
S_22_09343	F	3607634	655975	67322	0	10828	29	33
S_22_09275	F	3933998	757065	67322	0	15497	32	36
S_22_08088	M	2777813	634153	67322	0	11769	20	24
S_22_07687	F	2006481	620839	67322	0	11101	12	15
S_22_09240	F	4949039	885326	67322	0	22908	40	45
S_22_08069	F	971141	274720	67322	0	5545	7	8
S_22_09279	F	5065645	910015	67322	0	18610	39	44
S_22_09287	F	2704751	535035	67322	0	10573	21	24
S_22_07711	F	1662403	462957	67322	0	9187	10	13
S_22_09323	M	4805484	870063	67322	0	14070	37	42
S_22_08283	M	1019269	303415	67322	0	2311	6	8
S_22_08139	M	4997157	985907	67322	0	27283	38	44
S_22_07714	F	1463606	448576	67322	0	5393	8	11
S_22_07665	F	2513342	593002	67322	0	7307	17	21
S_22_09430	F	3140582	655442	67322	0	9568	25	28
S_22_09202	F	5300758	1024270	67322	0	17051	43	46
S_22_09353	M	3395195	647935	67322	0	15048	28	31
S_22_08155	M	1768583	424968	67322	0	8311	11	15
S_22_07697	F	1366268	444813	67322	0	6104	7	10
S_22_09245	F	4788381	840933	67322	0	18577	38	44
S_22_09243	M	4291673	857080	67322	0	24219	34	38
S_22_08147	F	1316453	350879	67322	0	7425	9	11
S_22_09320	M	6934961	1162410	67322	0	27469	55	61
S_22_09303	M	3987985	728383	67322	0	17803	32	36
S_22_08048	M	1546018	412711	67322	0	7058	10	12
S_22_09367	F	3732056	702601	67322	0	9437	30	34
S_22_08009	M	2242944	520464	67322	0	11240	15	19
S_22_08110	M	1926595	462893	67322	0	7102	14	17
S_22_08108	F	3019564	629516	67322	0	13537	23	26
S_22_09222	F	2782983	617193	67322	0	16804	21	24
S_22_09444	F	3362541	657781	67322	0	19385	27	30
S_22_08015	F	3872149	778606	67322	0	27143	29	33
S_22_09453	M	4741443	867713	67322	0	21178	38	43
S_22_08291	M	1941286	480521	67322	0	6325	14	17
S_22_09225	F	5749100	1052587	67322	0	24646	46	52
S_22_07680	F	3154161	778313	67322	0	11404	21	26
S_22_09203	F	6198253	1021273	67322	0	34571	53	59
S_22_09212	F	3837762	784642	67322	0	18242	30	34
S_22_07694	F	3258295	769521	67322	0	23192	22	27
S_22_08323	F	2606070	561626	67322	0	15565	18	22
S_22_09409	F	4586343	881087	67322	0	14818	35	39
S_22_08016	M	3651439	714055	67322	0	20010	29	33
S_22_08280	M	5705834	1041954	67322	0	20593	47	51
S_22_08137	M	1431593	380070	67322	0	4393	9	12
S_22_08286	F	1273276	350667	67322	0	3661	8	10
S_22_08281	F	2446424	528719	67322	0	12179	18	22
S_22_08059	M	4524764	945704	67322	0	24035	32	38
S_22_09368	F	3793495	729650	67322	0	21114	30	35
S_22_08308	F	2848420	566792	67322	0	8165	23	26
S_22_09236	M	4390828	908764	67322	0	22108	33	38
S_22_07690	F	2042619	507688	67322	0	16031	14	17
S_22_08070	M	1820604	459976	67322	0	11371	12	15
S_22_08006	F	1137778	305593	67322	0	7406	7	10
S_22_08060	M	4461988	864204	67322	0	26447	35	40
S_22_09280	M	3007184	590294	67322	0	10489	24	27
S_22_07708	F	1360326	383660	67322	0	9117	8	11
S_22_09391	M	3624561	673595	67322	0	14274	28	32
S_22_09252	M	3536159	679257	67322	0	15214	28	32
S_22_08288	M	2464286	551513	67322	0	15663	17	21
S_22_08302	F	2419923	555972	67322	0	5645	18	21
S_22_09410_rep	F	4682838	814591	67322	0	23296	39	44
S_22_08318	M	1503781	372355	67322	0	3673	10	13
S_22_08149	M	1244057	321311	67322	0	12129	9	11
S_22_08151	F	1521438	392191	67322	0	8348	9	13
S_22_09217	F	5526274	1049831	67322	0	24248	45	49
S_22_08071	F	2421645	572640	67322	0	9359	16	20
S_22_09447	M	2411686	518453	67322	0	8578	19	21
S_22_08080	M	1500189	411836	67322	0	5317	9	12
S_22_09234	M	4845907	878319	67322	0	18001	37	42
S_22_08061	F	871424	258145	67322	0	3024	6	7
S_22_08067	M	1194204	339271	67322	0	7800	8	10
S_22_08163	M	1987878	465462	67322	0	8305	15	17
S_22_08104	F	1788204	405800	67322	0	10712	13	15
S_22_09364	M	5241557	901857	67322	0	18479	43	48
S_22_09400	M	6427604	1133305	67322	0	17585	55	59
S_22_09354	M	5830273	1046910	67322	0	16182	49	53
S_22_09440	F	2667339	579129	67322	0	11732	20	23
S_22_08143	F	1997010	475580	67322	0	11089	14	17
S_22_09237	F	7185120	1243364	67322	0	21758	62	66
S_22_07691	F	2184075	616359	67322	0	9036	14	17
S_22_08120	F	2067660	528473	67322	0	7326	14	17
S_22_09387	F	3844109	714503	67322	0	10660	31	35
S_22_08042	M	1114662	312765	67322	0	5679	7	9
S_22_09376	F	2449556	554592	67322	0	7197	18	21
S_22_08079	M	1948202	487332	67322	0	9328	12	16
S_22_09233	F	6287392	1140740	67322	0	17620	48	54
S_22_08084	M	3552138	701388	67322	0	20467	27	31
S_22_09207	F	4051656	747571	67322	0	27390	33	37
S_22_07696	F	1784453	475567	67322	0	8175	11	15
S_22_07706	F	3040669	673576	67322	0	11180	22	26
S_22_09337	F	7287471	1258523	67322	0	41599	61	67
S_22_07683	M	2203397	607751	67322	0	9093	13	16
S_22_09307	F	2589447	559387	67322	0	12476	20	23
S_22_09265	M	3407980	703208	67322	0	26780	26	30
S_22_09283	F	4227383	804514	67322	0	17232	34	38
S_22_09362	F	3998970	786322	67322	0	17368	32	35
S_22_08099	M	1780461	416141	67322	0	7892	13	16
S_22_09221	F	3481025	670629	67322	0	11916	28	32
S_22_08157	M	1253659	338960	67322	0	6236	7	11
S_22_08030	M	2065648	516027	67322	0	4460	14	17
S_22_09254	F	7670392	1212808	67322	0	39879	65	73
S_22_09334	M	2196697	495230	67322	0	7126	16	19
S_22_08313	F	2546185	568753	67322	0	10982	18	22
S_22_08284	M	1681204	426115	67322	0	5118	11	14
S_22_09274	M	3418120	644686	67322	0	9308	27	31
S_22_09213	F	5596300	1036111	67322	0	18097	46	50
S_22_08032	M	2954774	666188	67322	0	7695	21	25
S_22_08311	F	3002928	653839	67322	0	7528	22	26
S_22_09345	F	5812674	994207	67322	0	20507	50	54
S_22_09272	M	4292975	752117	67322	0	23610	35	39
S_22_09305	F	2473819	519131	67322	0	12546	17	21
S_22_08346	M	1944015	431405	67322	0	4540	15	17
S_22_09263	M	5830517	1117587	67322	0	14510	46	51
S_22_08083	F	1484042	393775	67322	0	4848	10	12
S_22_08292	M	951973	296624	67322	0	6000	6	7
S_22_08327	F	1744655	444952	67322	0	12424	11	15
S_22_09322	F	4533330	828662	67322	0	13423	38	41
S_22_08056	F	2393210	534507	67322	0	10860	18	21
S_22_08098	F	2021945	446218	67322	0	6536	14	18
S_22_09388	F	4157082	755536	67322	0	31814	33	38
S_22_09324	M	4633177	857984	67322	0	15520	37	42
S_22_07705	F	1466884	459440	67322	0	5457	8	11
S_22_09325	F	5425629	926518	67322	0	23356	45	50
S_22_09427	F	5954348	1078948	67322	0	37663	49	53
S_22_09264	M	4362306	852038	67322	0	10823	34	38
S_22_09228	M	6076801	1141575	67322	0	26927	49	55
S_22_09304	M	3718148	742651	67322	0	17766	29	33
S_22_09244	F	4216810	897728	67322	0	22300	31	36
S_22_08020	M	2450114	548743	67322	0	13180	19	21
S_22_09294	F	3684882	711015	67322	0	10751	29	33
S_22_09306	M	5231879	981806	67322	0	22067	41	46
S_22_09434	F	4217767	821598	67322	0	10967	35	38
S_22_09226	M	8019774	1366222	67322	0	51015	64	73
S_22_08021	M	1803128	405077	67322	0	4654	13	16
S_22_07700	M	1668572	537406	67322	0	9113	8	12
S_22_08041	M	1725631	456220	67322	0	11535	11	14
S_22_08036	M	1471370	360255	67322	0	8047	10	13
S_22_08109	F	3626980	666237	67322	0	26265	29	33
S_22_09295	M	6718569	1146396	67322	0	31271	56	62
S_22_08140	M	1522340	412455	67322	0	3428	9	13
S_22_09286	M	6535001	1149419	67322	0	19135	54	59
S_22_09231	F	4616693	857831	67322	0	26549	37	42
S_22_08305	M	3564292	765389	67322	0	10249	26	30
S_22_09344	F	4742694	863319	67322	0	15528	39	43
S_22_08035	M	3379946	754351	67322	0	30477	23	29
S_22_09452	M	5455452	958046	67322	0	15306	46	50
S_22_08314	F	1868042	447111	67322	0	20363	13	16
S_22_08154	F	1162366	341847	67322	0	5475	5	9
S_22_08319	M	982402	302456	67322	0	2193	6	8
S_22_09250	F	4387551	804339	67322	0	32234	36	41
S_22_09377	M	3705366	691379	67322	0	12962	30	34
S_22_08068	F	1332839	346957	67322	0	4935	10	12
S_22_08116	F	2458740	516592	67322	0	12795	19	22
S_22_07703	F	2387554	624299	67322	0	6205	16	19
S_22_09403	F	6075375	1063132	67322	0	20239	48	53
S_22_09209	F	5402447	958253	67322	0	21094	44	49
S_22_09229	M	5923630	1110468	67322	0	25277	46	53
S_22_09216	F	2742119	641260	67322	0	9947	20	23
S_22_08124	M	2455790	567038	67322	0	8260	18	21
S_22_09255	F	4065065	772182	67322	0	19523	33	36
S_22_09214	F	4180026	818139	67322	0	18267	33	37
S_22_07692	F	2938508	774992	67322	0	13178	19	23
S_22_08013	F	1630740	424624	67322	0	7704	12	14
S_22_08150	M	1719147	440543	67322	0	8410	11	15
S_22_09366	M	6753117	1207534	67322	0	18274	53	58
S_22_09281	F	3162990	673723	67322	0	11323	25	28
S_22_09215	M	4636147	937426	67322	0	19112	37	41
S_22_08324	M	1117686	342321	67322	0	3441	6	9
S_22_09232	M	6620366	1185524	67322	0	20577	54	59
S_22_08029	M	3310901	695578	67322	0	13056	22	28
S_22_07701	F	5284968	1100363	67322	0	24924	36	43
S_22_07695	F	1287433	417728	67322	0	8196	6	9
S_22_09335	M	4638698	903721	67322	0	19833	38	41
S_22_08122	F	4691010	907182	67322	0	30940	37	42
S_22_09239	F	3328388	679147	67322	0	16163	25	30
S_22_08082	F	1528692	380660	67322	0	8717	11	13
S_22_08011	F	3348889	687180	67322	0	15860	27	30
S_22_08315	F	1909523	472869	67322	0	5914	13	16
S_22_09285	M	3783032	761032	67322	0	14517	29	33
S_22_07689	F	1737105	514537	67322	0	7658	10	13
S_22_08115	M	4259470	861399	67322	0	11414	34	37
S_22_09211	M	5140051	948768	67322	0	37034	42	46
S_22_09206	F	4750755	909116	67322	0	23057	39	43
S_22_08087	M	2250822	506613	67322	0	9900	17	20
S_22_08289	F	1938632	465687	67322	0	8193	13	16
S_22_08078	M	1387924	358339	67322	0	10864	9	12
S_22_07670	F	2201187	552003	67322	0	11581	14	18
S_22_09422	F	3010324	563905	67322	0	18651	25	28
S_22_09253	M	2356238	512834	67322	0	9538	18	21
S_22_08161	F	1295283	354567	67322	0	9492	7	11
S_22_08054	F	1300449	348887	67322	0	8990	9	11
S_22_09249	F	5359887	910817	67322	0	27101	44	50
S_22_08031	F	5618793	1080930	67322	0	13775	40	49
S_22_08295	M	1249544	358415	67322	0	6831	7	10
S_22_08053	M	961094	284714	67322	0	4820	6	8
S_22_09201	F	3239489	594180	67322	0	19868	27	30
S_22_09421	M	4344298	811332	67322	0	20885	33	38
S_22_08326	F	1146363	327711	67322	0	4953	8	10
S_22_08117	F	3776561	752779	67322	0	15095	30	33
S_22_09423	F	3046453	583836	67322	0	16129	25	28
S_22_09247	F	4779778	791575	67322	0	16614	38	43
S_22_07685	F	1674707	519322	67322	0	12114	9	12
S_22_09251	M	3743678	752940	67322	0	10425	29	33
S_22_09318	F	6858733	1148534	67322	0	28678	54	61
S_22_08050	M	1955618	492026	67322	0	10519	13	17
S_22_09218	M	6157593	1107767	67322	0	33021	50	55
S_22_09210	F	3842349	844612	67322	0	13687	27	31
S_22_09296	F	5465596	1021760	67322	0	14773	43	48
S_22_08023	F	2142406	538868	67322	0	4715	13	18
S_22_07707	F	1187433	382997	67322	0	2514	7	9
S_22_09262	M	4184336	801996	67322	0	24912	33	37
S_22_08138	F	1526156	415094	67322	0	7299	8	13
S_22_08049	M	4205661	883311	67322	0	20972	31	36
S_22_09363	F	7138805	1233989	67322	0	40198	57	62
S_22_09336	M	3201134	637201	67322	0	24016	25	29
S_22_09401	F	3776523	717924	67322	0	11082	30	34
S_22_09235	F	2402096	528097	67322	0	12458	17	20
S_22_09238	F	5650309	1146191	67322	0	25038	46	49
S_22_09378	M	4110409	801492	67322	0	11658	30	35
S_22_09333	M	7271271	1250190	67322	0	36087	47	58
S_22_09327	F	4700481	937876	67322	0	14135	38	42
S_22_09242	M	3326061	722193	67322	0	11215	25	29
S_22_08118	M	2914737	600941	67322	0	12131	23	26
S_22_09428	F	5012948	937244	67322	0	24011	42	45
S_22_09200	M	3075333	590701	67322	0	15307	25	28
S_22_08158	F	1015983	276521	67322	0	5345	6	9
S_22_08025	F	1072993	307217	67322	0	5586	7	9
S_22_09342	F	5005865	914840	67322	0	20094	42	46
S_22_08076	M	3258829	696643	67322	0	14755	24	28
S_22_09297	F	3809572	790820	67322	0	21883	29	33
S_22_08043	M	2065835	466821	67322	0	9368	15	18
S_22_09411	M	5114358	926320	67322	0	21154	42	46
S_22_07675	M	1432918	428461	67322	0	4253	8	11
S_22_09454	F	4937492	919615	67322	0	18322	40	45
S_22_08022	M	3611816	758248	67322	0	13879	25	32
S_22_07712	F	1760149	507543	67322	0	8793	10	13
S_22_09386	F	6013454	1054350	67322	0	32683	46	53
S_22_09402	F	4180640	738493	67322	0	14017	34	39
S_22_09413	F	5805634	1029003	67322	0	20239	48	53
S_22_09248	F	3980909	704740	67322	0	18064	33	37
S_22_08121	F	2961952	660163	67322	0	12328	22	26
S_22_09352	M	4470653	852137	67322	0	23833	36	40
S_22_09219	F	1933460	474037	67322	0	13087	14	16
S_22_08111	F	2215826	490384	67322	0	6599	16	19
S_22_09208	M	4936538	847739	67322	0	21862	40	46
S_22_09412	F	4423097	854404	67322	0	18654	35	40
S_22_09273	M	3398385	639017	67322	0	12980	27	31
S_22_08287	F	2212420	523196	67322	0	11426	15	19
S_22_09326	M	4217922	874409	67322	0	23598	31	36
