sample,n_loci,n_used_fw_reads,mean_cov,mean_cov_ns
S_22_09616,115221,2106381,18.281,22.082
S_22_09616_rep,103027,951447,9.235,10.483
S_22_09617,117040,2013537,17.204,20.947
S_22_09618,109448,1228454,11.224,13.062
S_22_09619,109434,2673416,24.429,28.891
S_22_09620,128121,4579222,35.741,45.681
S_22_09621,123501,4646020,37.619,47.642
S_22_09622,111687,1952369,17.481,20.664
S_22_09623,125233,3697311,29.523,37.211
S_22_09624,94456,984406,10.422,11.849
S_22_09625,101612,1936279,19.056,21.915
