ID,RunSeq,No_plaque,Ntotal,Nsurvival
NS.2050.002.B723---D501.Pradseq_2022_001,NS.2050.002,Pradseq_2022_001,467058158,466993776
NS.2050.002.B723---D502.Pradseq_2022_002,NS.2050.002,Pradseq_2022_002,462399252,462348615
NS.2050.002.B723---D503.Pradseq_2022_003,NS.2050.002,Pradseq_2022_003,471356341,471286861
NS.2050.002.B724---D501.Pradseq_2022_004,NS.2050.002,Pradseq_2022_004,411723561,411671489
NS.2050.002.B724---D502.Pradseq_2022_005,NS.2050.002,Pradseq_2022_005,487754718,487683064
NS.2050.002.B724---D503.Pradseq_2022_006,NS.2050.002,Pradseq_2022_006,395627574,395587286
